kills,damage_dealt,placement,healing_used,revives_given,headshots,assists,tier,plus_minus_points,game_type
0,1007,3,261,1,9,6,Platinum,50,Duo
16,409,12,715,2,3,7,Ace,50,Squad
18,738,71,74,3,10,8,Bronze,50,Duo
6,1844,5,175,4,8,7,Conqueror,50,Duo
14,137,22,501,3,19,3,Ace,50,Duo
4,1789,20,834,4,18,4,Ace,50,Solo
0,403,40,653,4,17,9,Bronze,50,Solo
9,1680,25,275,1,4,4,Conqueror,45,Duo
12,1477,13,191,4,13,4,Platinum,50,Duo
7,1346,6,602,1,13,1,Gold,50,Solo
1,19,27,444,1,14,0,Conqueror,37,Squad
7,250,59,105,3,19,9,Bronze,50,Squad
2,923,12,49,0,7,4,Bronze,41,Solo
19,65,46,965,3,7,0,Platinum,50,Solo
4,1285,79,503,3,14,2,Platinum,14,Squad
4,1295,85,750,3,18,5,Conqueror,19,Squad
14,448,59,72,1,18,1,Platinum,50,Squad
7,282,32,919,0,10,1,Platinum,50,Squad
18,938,40,862,0,14,6,Crown,50,Solo
18,1564,71,740,2,12,7,Platinum,50,Squad
4,716,67,13,1,9,5,Gold,8,Solo
10,1991,70,506,3,16,2,Ace,34,Squad
0,1021,66,930,1,17,2,Platinum,7,Squad
6,1083,50,714,2,6,2,Ace,43,Squad
3,688,46,828,4,19,0,Platinum,50,Squad
13,1902,92,280,2,18,0,Bronze,50,Solo
12,1850,88,625,4,16,1,Conqueror,35,Squad
18,1510,59,437,1,16,3,Ace,50,Squad
19,672,98,16,2,11,3,Diamond,50,Duo
18,1447,59,813,1,17,5,Silver,50,Solo
8,221,97,82,3,5,0,Silver,8,Duo
3,1828,12,964,3,18,6,Conqueror,50,Solo
18,1006,88,650,3,13,4,Bronze,50,Squad
17,432,11,229,0,10,6,Platinum,50,Solo
3,330,66,52,2,7,9,Gold,9,Squad
3,622,94,70,1,15,8,Conqueror,11,Solo
4,1743,65,667,1,8,8,Silver,16,Squad
6,1764,1,225,3,17,8,Ace,50,Duo
13,534,97,448,1,8,1,Silver,35,Squad
2,1821,53,345,0,1,8,Bronze,-6,Squad
8,1284,20,534,1,1,8,Platinum,50,Duo
19,361,89,470,0,12,5,Silver,50,Duo
19,1643,51,788,1,8,4,Silver,50,Duo
5,675,34,119,0,10,8,Diamond,50,Duo
19,1115,13,531,1,19,9,Bronze,50,Solo
17,116,78,155,2,10,2,Crown,47,Squad
12,1848,95,39,4,2,3,Conqueror,5,Squad
19,1256,7,914,1,11,7,Bronze,50,Squad
1,713,82,357,0,13,2,Ace,-6,Squad
19,1214,100,89,0,16,2,Conqueror,50,Squad
10,1596,100,13,2,0,3,Platinum,4,Solo
7,1159,78,29,0,13,6,Gold,32,Squad
5,835,36,194,2,14,0,Silver,50,Solo
3,78,18,556,2,7,5,Conqueror,37,Squad
14,1676,21,506,4,16,1,Ace,50,Solo
9,1673,63,678,2,6,3,Diamond,13,Squad
18,1726,58,170,1,6,7,Silver,50,Duo
3,662,76,726,2,4,7,Platinum,-4,Squad
8,323,74,57,1,2,3,Gold,4,Squad
14,1599,61,383,1,13,3,Ace,39,Duo
17,181,35,587,1,17,4,Gold,50,Solo
3,1653,9,677,4,12,8,Platinum,50,Squad
18,1588,88,168,4,3,8,Crown,37,Solo
16,1028,93,888,2,8,5,Diamond,38,Solo
15,1207,75,76,1,11,4,Conqueror,36,Duo
16,200,12,289,0,15,0,Conqueror,50,Squad
9,1312,11,392,0,6,7,Gold,50,Duo
9,223,26,112,3,0,1,Silver,46,Duo
11,410,3,827,1,7,3,Platinum,50,Squad
10,890,11,727,4,2,2,Conqueror,41,Duo
10,641,80,735,3,17,6,Silver,50,Squad
9,1460,30,120,3,5,8,Ace,50,Solo
11,823,8,210,2,17,0,Bronze,50,Solo
16,276,68,718,1,11,0,Gold,45,Duo
8,117,98,22,0,8,6,Bronze,24,Solo
0,254,49,675,4,6,4,Bronze,33,Solo
6,1977,22,565,3,16,6,Conqueror,50,Squad
7,103,68,895,3,19,4,Diamond,38,Squad
7,807,14,330,3,9,8,Gold,50,Duo
11,732,32,998,4,14,9,Conqueror,50,Squad
0,1994,79,691,3,14,6,Conqueror,-3,Solo
18,313,49,811,4,0,4,Conqueror,50,Solo
5,864,11,373,3,18,3,Diamond,50,Squad
2,602,14,839,4,10,7,Crown,42,Solo
6,1957,4,708,1,15,5,Conqueror,50,Solo
8,549,1,635,1,12,0,Crown,50,Squad
14,1952,62,440,0,17,9,Platinum,50,Solo
1,1622,88,361,1,1,0,Gold,-24,Solo
16,1342,89,937,2,10,1,Conqueror,30,Solo
17,243,94,948,3,19,4,Conqueror,50,Squad
2,1570,67,868,1,0,5,Diamond,-20,Solo
4,1839,47,843,3,9,8,Conqueror,46,Duo
18,208,72,428,2,8,6,Gold,50,Duo
9,191,36,149,2,1,1,Diamond,41,Duo
19,830,67,71,3,10,6,Ace,50,Squad
1,1442,90,49,1,6,9,Platinum,-3,Duo
17,1023,83,938,0,0,4,Bronze,38,Squad
17,340,48,317,3,17,9,Gold,50,Squad
11,1929,31,315,4,11,5,Gold,50,Duo
0,100,100,498,0,1,6,Ace,-26,Solo
1,1017,39,938,0,12,5,Platinum,48,Duo
11,659,18,988,0,7,3,Bronze,50,Solo
15,1721,80,54,0,5,3,Silver,39,Squad
12,1257,37,907,0,10,3,Bronze,50,Squad
15,950,79,318,2,11,4,Ace,43,Squad
3,567,79,1,0,10,2,Platinum,1,Solo
16,885,90,731,1,18,3,Diamond,50,Squad
2,1142,49,42,3,16,6,Ace,50,Duo
5,815,90,771,1,4,1,Ace,-15,Squad
0,1519,17,384,4,14,9,Bronze,50,Squad
7,688,38,328,3,1,6,Platinum,49,Squad
0,1932,82,779,2,16,5,Silver,15,Squad
3,1427,71,53,3,9,7,Conqueror,-3,Duo
1,1784,12,900,3,11,3,Ace,39,Squad
16,524,93,150,0,4,3,Conqueror,25,Squad
2,8,25,347,2,12,4,Crown,45,Duo
10,928,44,750,2,5,2,Crown,50,Squad
15,247,43,879,2,5,9,Ace,50,Duo
6,537,31,35,4,4,6,Bronze,50,Solo
15,1502,32,914,1,15,1,Bronze,50,Duo
14,1109,57,643,2,12,7,Platinum,50,Duo
13,809,81,18,4,9,4,Bronze,38,Solo
0,1704,100,895,4,18,4,Conqueror,2,Solo
16,98,21,94,2,14,4,Conqueror,50,Solo
9,927,30,401,4,10,4,Bronze,50,Duo
0,622,77,608,3,8,8,Ace,-9,Solo
4,1854,34,548,3,12,1,Platinum,50,Squad
9,1472,8,731,1,16,9,Silver,50,Squad
15,1793,57,934,1,17,3,Conqueror,48,Duo
7,1539,2,711,2,17,4,Diamond,50,Solo
5,1797,38,377,2,11,9,Bronze,50,Squad
0,1087,56,622,3,19,9,Ace,16,Duo
15,1988,36,195,0,3,6,Crown,50,Squad
0,1308,84,982,3,12,9,Conqueror,-3,Duo
18,50,19,756,0,15,4,Diamond,50,Duo
6,171,83,547,4,8,6,Diamond,12,Squad
15,153,63,906,2,13,5,Bronze,50,Squad
13,740,53,533,0,4,4,Ace,16,Solo
4,375,28,851,2,16,6,Diamond,50,Duo
17,1099,48,840,4,16,9,Bronze,50,Duo
8,851,39,749,3,9,5,Diamond,50,Duo
14,1398,39,62,0,14,7,Silver,50,Squad
11,440,60,581,4,15,2,Bronze,49,Squad
4,850,25,522,4,12,4,Platinum,50,Squad
4,735,72,440,0,19,6,Conqueror,21,Duo
10,1834,14,11,1,11,4,Ace,50,Squad
2,1611,30,866,4,3,0,Bronze,27,Solo
7,485,77,30,4,6,1,Conqueror,-6,Duo
5,738,98,804,4,17,8,Platinum,30,Solo
16,1892,32,873,4,10,3,Silver,50,Duo
1,834,83,411,3,5,7,Conqueror,-20,Squad
11,864,13,179,2,5,4,Crown,50,Duo
6,615,73,717,2,12,3,Diamond,15,Duo
12,1275,4,885,1,6,1,Ace,50,Duo
6,1187,36,379,0,14,7,Platinum,50,Solo
8,1534,53,401,3,6,6,Silver,20,Duo
10,1022,64,953,0,2,5,Platinum,12,Duo
16,1760,49,191,1,0,7,Silver,50,Squad
17,1966,56,241,4,9,7,Ace,42,Solo
6,182,55,635,1,2,6,Gold,2,Duo
2,1911,52,209,2,0,4,Gold,-17,Solo
14,458,2,722,2,12,8,Diamond,50,Duo
8,711,8,968,4,15,7,Silver,50,Duo
0,1035,4,230,3,12,7,Ace,50,Solo
14,1651,96,701,0,10,5,Diamond,36,Solo
2,297,65,902,3,3,5,Crown,-17,Duo
17,194,56,577,1,7,4,Ace,37,Duo
4,81,50,937,0,3,6,Bronze,46,Duo
3,970,5,586,4,15,1,Silver,50,Duo
17,329,100,488,4,13,4,Diamond,50,Duo
15,1360,71,166,2,15,4,Ace,50,Squad
10,1604,42,520,2,8,1,Bronze,50,Squad
14,1924,88,566,3,7,4,Gold,33,Solo
11,1729,22,878,0,1,5,Conqueror,47,Duo
18,485,1,253,2,4,6,Bronze,50,Squad
4,114,80,726,2,19,2,Platinum,26,Squad
2,862,40,500,0,12,3,Crown,40,Solo
10,1258,15,433,3,11,7,Ace,50,Solo
0,1286,43,739,0,13,7,Diamond,44,Solo
18,1430,14,795,0,1,8,Diamond,50,Solo
18,245,45,556,4,16,5,Crown,50,Solo
10,1153,22,766,4,5,9,Gold,50,Solo
3,137,92,630,2,16,7,Ace,14,Solo
11,647,34,420,1,1,7,Gold,50,Squad
8,945,52,338,4,13,9,Platinum,36,Duo
15,1533,75,252,2,11,1,Bronze,48,Duo
6,1468,34,623,0,4,5,Gold,50,Squad
7,1640,61,897,0,11,0,Conqueror,3,Duo
1,724,86,423,0,11,7,Platinum,5,Squad
10,739,98,739,0,4,6,Crown,12,Solo
11,240,27,867,1,18,4,Crown,50,Duo
11,1578,66,158,2,1,0,Gold,7,Duo
16,1309,41,983,2,10,9,Diamond,50,Squad
13,198,95,996,2,6,5,Ace,26,Squad
6,1047,35,228,3,3,1,Conqueror,28,Duo
0,1765,43,749,2,5,4,Gold,32,Squad
4,1109,78,529,2,11,0,Gold,5,Solo
1,1549,14,336,1,9,0,Silver,34,Solo
9,1635,56,90,2,3,1,Conqueror,-7,Squad
13,1154,39,625,2,10,4,Bronze,50,Solo
11,58,84,527,3,8,0,Gold,24,Squad
7,1223,68,350,2,18,0,Diamond,29,Squad
18,551,53,348,2,8,3,Diamond,42,Solo
6,783,44,796,3,13,0,Silver,50,Squad
19,1996,62,523,2,0,4,Bronze,38,Solo
18,1049,93,396,3,0,7,Platinum,37,Duo
8,1122,17,867,1,6,0,Platinum,45,Solo
11,113,57,472,3,5,8,Diamond,24,Duo
19,149,60,925,0,12,7,Ace,50,Duo
10,1089,91,625,2,10,3,Gold,26,Solo
1,1444,8,364,0,12,7,Gold,50,Solo
1,1240,87,894,4,11,0,Ace,-13,Duo
15,59,69,172,4,3,5,Crown,24,Solo
19,813,12,559,1,12,1,Bronze,50,Squad
0,698,95,79,4,1,0,Crown,-33,Solo
19,590,91,509,4,13,0,Bronze,50,Squad
13,175,11,18,2,6,7,Conqueror,50,Solo
13,1919,94,797,4,12,1,Diamond,32,Solo
11,656,86,975,3,12,7,Bronze,42,Solo
8,1844,87,713,4,0,6,Conqueror,-8,Squad
14,14,30,8,3,4,8,Silver,50,Squad
8,1300,29,670,4,7,1,Platinum,50,Duo
0,1999,2,829,0,16,6,Ace,50,Duo
3,1116,89,24,2,17,1,Crown,10,Solo
17,1638,6,973,1,7,8,Gold,50,Solo
10,250,27,260,4,18,9,Bronze,50,Duo
1,1164,71,197,2,18,1,Diamond,9,Squad
0,1265,10,570,4,14,5,Bronze,50,Solo
11,883,79,83,3,9,4,Gold,28,Solo
19,474,66,973,2,10,1,Platinum,48,Solo
18,1327,76,937,0,16,9,Crown,50,Duo
12,1019,93,504,4,13,7,Bronze,48,Solo
9,29,74,72,3,9,0,Platinum,14,Solo
0,496,3,25,1,3,2,Silver,50,Squad
17,1708,85,289,3,5,3,Gold,40,Duo
1,1479,16,854,4,7,5,Gold,43,Squad
15,799,29,300,0,16,8,Crown,50,Solo
16,1101,19,468,4,14,4,Conqueror,50,Squad
14,777,22,716,0,3,9,Conqueror,50,Squad
15,117,86,213,0,5,6,Diamond,31,Solo
7,1443,31,213,1,1,4,Gold,40,Solo
1,967,95,646,2,9,9,Ace,-3,Duo
18,1729,47,399,3,12,5,Diamond,50,Solo
9,57,44,886,2,10,8,Silver,50,Squad
4,1919,38,995,0,8,8,Diamond,50,Squad
9,1189,52,701,4,7,5,Silver,24,Duo
6,1377,73,258,2,18,7,Silver,41,Duo
2,171,88,982,3,2,4,Conqueror,-26,Duo
7,1658,11,935,1,17,3,Ace,50,Squad
0,1334,89,451,3,8,4,Silver,-5,Solo
5,1230,67,11,0,3,8,Bronze,10,Squad
19,1353,73,255,1,11,5,Platinum,50,Squad
18,566,66,702,4,9,6,Gold,50,Duo
9,1925,73,719,0,4,6,Silver,20,Squad
17,1538,4,676,3,7,8,Ace,50,Duo
15,57,36,647,0,4,5,Gold,50,Squad
12,446,15,196,0,12,2,Bronze,50,Squad
10,384,93,50,0,18,9,Diamond,50,Squad
11,1846,73,247,3,4,1,Crown,9,Squad
19,1538,63,432,1,6,1,Platinum,40,Solo
10,1204,39,872,1,1,7,Silver,50,Duo
4,1231,26,463,3,15,5,Conqueror,50,Squad
1,1904,28,182,4,13,5,Conqueror,36,Solo
4,1465,74,963,0,2,9,Platinum,-2,Duo
5,1894,41,378,2,6,3,Bronze,50,Duo
15,518,66,829,0,6,7,Platinum,40,Duo
3,1902,17,814,2,17,5,Ace,50,Squad
8,931,36,428,3,7,4,Conqueror,44,Solo
0,1517,50,859,0,0,7,Silver,28,Squad
13,1674,69,503,2,18,8,Diamond,50,Squad
5,634,56,847,0,10,2,Ace,1,Squad
14,410,34,216,4,1,1,Conqueror,46,Solo
17,1550,93,905,2,15,1,Bronze,50,Duo
3,1989,77,911,4,0,4,Ace,-24,Duo
1,167,97,830,0,2,8,Bronze,-7,Squad
19,172,21,703,1,5,0,Platinum,50,Duo
4,632,63,703,0,4,7,Silver,4,Solo
19,1059,41,897,4,14,7,Gold,50,Duo
4,408,26,616,0,19,7,Silver,50,Duo
0,16,24,486,2,15,7,Ace,48,Duo
13,1385,92,152,2,5,4,Bronze,30,Solo
13,1657,30,423,2,18,6,Ace,50,Squad
14,990,22,716,4,0,8,Conqueror,50,Solo
7,96,60,269,1,5,5,Conqueror,-2,Solo
11,348,49,645,1,13,6,Silver,50,Squad
4,1810,92,681,4,0,8,Platinum,-8,Squad
18,1672,3,278,2,4,1,Gold,50,Solo
15,1060,48,316,0,19,1,Crown,50,Squad
15,1978,38,791,2,4,5,Gold,50,Squad
4,27,8,879,0,0,2,Gold,50,Duo
14,1144,60,909,4,16,1,Bronze,50,Squad
5,1846,61,619,0,9,8,Bronze,22,Duo
4,1640,47,262,0,6,5,Crown,36,Solo
14,1197,47,474,0,5,8,Bronze,50,Duo
12,753,42,191,2,10,2,Silver,50,Squad
19,592,99,563,1,16,3,Platinum,50,Solo
10,90,20,346,3,12,0,Crown,50,Duo
15,1093,14,605,4,10,9,Diamond,50,Squad
11,1798,92,196,0,17,5,Bronze,50,Duo
15,648,84,113,1,13,3,Silver,48,Solo
17,1184,32,158,2,12,1,Ace,50,Duo
10,186,91,206,0,2,5,Gold,14,Duo
10,998,84,627,0,19,6,Gold,50,Duo
12,1771,51,740,1,3,6,Silver,29,Squad
18,551,98,992,0,9,8,Conqueror,50,Squad
18,625,63,347,1,13,0,Platinum,50,Squad
10,1581,79,612,3,1,2,Platinum,5,Squad
9,1043,10,963,2,16,3,Silver,50,Squad
9,1123,45,128,4,17,4,Diamond,50,Duo
7,1854,65,804,3,9,2,Diamond,9,Solo
17,898,89,943,1,5,0,Diamond,34,Squad
15,1605,99,10,4,6,9,Ace,40,Squad
2,1696,61,61,4,11,6,Gold,9,Duo
4,514,13,249,0,17,3,Silver,50,Squad
12,1606,60,930,2,11,0,Crown,28,Squad
5,220,81,179,3,5,8,Gold,8,Solo
0,1277,36,158,0,12,0,Ace,27,Solo
18,49,53,113,1,3,7,Diamond,45,Squad
9,883,32,84,0,4,8,Bronze,50,Duo
13,850,70,747,0,9,9,Bronze,50,Duo
4,1102,48,981,4,15,6,Conqueror,50,Solo
8,917,66,532,1,12,9,Bronze,36,Solo
13,1930,63,473,0,4,6,Bronze,31,Solo
9,881,43,247,4,15,2,Gold,50,Squad
10,1752,35,912,1,18,1,Crown,50,Solo
9,346,72,632,0,17,0,Bronze,43,Squad
5,1872,78,645,1,9,1,Bronze,10,Solo
1,1922,59,466,0,10,7,Gold,5,Squad
2,1248,84,674,4,0,9,Bronze,-7,Squad
1,1845,9,650,2,19,2,Gold,50,Squad
17,124,95,289,2,1,0,Crown,18,Solo
2,923,85,461,3,18,7,Conqueror,15,Squad
1,1895,76,322,1,2,9,Bronze,-4,Solo
19,1045,48,740,0,16,1,Platinum,50,Squad
8,1844,69,283,4,5,7,Gold,19,Squad
0,1654,97,377,1,7,0,Platinum,-20,Squad
15,314,43,857,2,5,6,Platinum,50,Duo
2,984,55,507,4,17,9,Platinum,27,Squad
3,925,9,866,1,19,4,Crown,50,Squad
6,972,97,288,1,7,4,Platinum,8,Squad
18,505,90,18,3,12,8,Ace,50,Duo
3,1646,75,71,0,13,0,Conqueror,-5,Solo
14,575,85,78,1,13,8,Bronze,50,Duo
2,1467,33,971,1,11,2,Crown,43,Squad
0,1113,1,182,4,8,0,Diamond,50,Squad
14,1340,45,369,3,11,3,Bronze,50,Squad
8,401,64,247,0,11,6,Crown,22,Duo
15,850,96,487,4,16,4,Bronze,50,Solo
12,733,11,388,1,7,1,Diamond,50,Solo
5,361,21,115,2,17,4,Ace,50,Solo
12,26,53,927,1,10,3,Conqueror,23,Duo
